"Minneapolis, MN - All Homes",,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized
Powderhorn Park,neighborhood,All Homes,"$259,700",0.10%,0.20%,3.40%,7.80%,4.50%
Prospect Park,neighborhood,All Homes,"$369,900",0.10%,0.20%,--0.7%,4.00%,2.60%
Regina,neighborhood,All Homes,"$277,300",0.50%,1.40%,3.30%,7.00%,4.60%
Saint Anthony East,neighborhood,All Homes,"$309,600",0.50%,1.50%,6.80%,8.70%,5.70%
Saint Anthony West,neighborhood,All Homes,"$341,300",0.10%,0.50%,2.80%,5.90%,4.80%
Seward,neighborhood,All Homes,"$293,900",0.50%,1.40%,5.90%,6.30%,4.40%
Sheridan,neighborhood,All Homes,"$287,000",0.40%,1.50%,5.20%,9.00%,6.20%
Shingle Creek,neighborhood,All Homes,"$207,300",0.50%,1.40%,6.80%,9.00%,2.20%
Southeast Como,neighborhood,All Homes,"$278,400",0.60%,1.20%,4.00%,5.60%,3.20%
Standish,neighborhood,All Homes,"$267,300",0.30%,0.60%,1.10%,6.70%,3.90%
Stevens Square,neighborhood,All Homes,"$162,000",0.60%,1.40%,3.80%,6.40%,1.80%
Sumner-Glenwood,neighborhood,All Homes,"$302,000",0.10%,0.30%,2.60%,5.70%,3.50%
University District,neighborhood,All Homes,"$277,400",0.70%,1.60%,2.90%,4.90%,2.70%
Ventura Village,neighborhood,All Homes,"$216,400",0.30%,1.00%,5.80%,8.60%,5.00%
Victory,neighborhood,All Homes,"$228,100",0.30%,1.20%,6.80%,8.30%,4.20%
Waite Park,neighborhood,All Homes,"$280,200",0.40%,0.90%,2.90%,6.80%,3.80%
Webber-Camden,neighborhood,All Homes,"$188,700",0.40%,1.00%,6.50%,10.20%,5.50%
Wenonah,neighborhood,All Homes,"$280,200",0.20%,0.40%,2.60%,6.40%,3.00%
West Calhoun,neighborhood,All Homes,"$271,900",0.40%,0.90%,3.20%,4.10%,2.10%
Whittier,neighborhood,All Homes,"$206,700",0.40%,1.10%,2.10%,5.60%,3.10%
Willard Hay,neighborhood,All Homes,"$207,600",0.40%,1.40%,6.30%,8.90%,5.20%
Windom,neighborhood,All Homes,"$329,500",0.40%,0.90%,1.30%,5.60%,3.80%
Windom Park,neighborhood,All Homes,"$301,700",0.30%,0.70%,3.30%,6.90%,4.20%
